,propertyLink,dateAdded,propertyTypeRaw,propertyType,propertyAddress,propertyPrice,propertyAgency,propertyNumber,dateScraped
64,https://www.rightmove.co.uk/properties/117365681#/?channel=RES_BUY,Added on 08/12/2021 ,2 bedroom semi-detached house for sale,detached,"HALESOWEN, Hanley Close",230000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
65,https://www.rightmove.co.uk/properties/117965966#/?channel=RES_BUY,Added on 23/12/2021 ,3 bedroom semi-detached house for sale,detached,"Stanmore Road, Birmingham, B16",230000,"Strike, Midlands",0115 798 0144,2021-12-29 18:34:25.736971
66,https://www.rightmove.co.uk/properties/117387425#/?channel=RES_BUY,Added on 09/12/2021 ,3 bedroom semi-detached house for sale,detached,"High Farm Road, Halesowen",230000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
67,https://www.rightmove.co.uk/properties/117411068#/?channel=RES_BUY,Added on 19/11/2021 ,3 bedroom bungalow for sale,bungalow,"61 Talbot Street, Halesowen, West Midlands B63 2TD",225000,"SDL Property Auctions, Nationwide",03452 220197,2021-12-29 18:34:25.736971
68,https://www.rightmove.co.uk/properties/117743849#/?channel=RES_BUY,Added on 17/12/2021 ,3 bedroom semi-detached house for sale,detached,"HALESOWEN, Fairmile Road",225000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
69,https://www.rightmove.co.uk/properties/113617079#/?channel=RES_BUY,Added on 17/09/2021 ,4 bedroom town house for sale,other,"Cobham Road, Halesowen, West Midlands, B63",225000,"Hicks Hadley, Halesowen",0121 396 0594,2021-12-29 18:34:25.736971
70,https://www.rightmove.co.uk/properties/106432940#/?channel=RES_BUY,Reduced on 19/08/2021 ,2 bedroom detached bungalow for sale,detached,"HALESOWEN, Holcroft Road",225000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
71,https://www.rightmove.co.uk/properties/115697894#/?channel=RES_BUY,Added on 02/11/2021 ,3 bedroom semi-detached house for sale,detached,"HALESOWEN, Apperley Way",220000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
72,https://www.rightmove.co.uk/properties/109519796#/?channel=RES_BUY,Reduced on 07/12/2021 ,2 bedroom semi-detached house for sale,detached,"Clivedon Way, Halesowen",220000,"Lex Allan Grove, Halesowen",0121 396 0563,2021-12-29 18:34:25.736971
73,https://www.rightmove.co.uk/properties/111713750#/?channel=RES_BUY,Added on 10/08/2021 ,3 bedroom semi-detached house for sale,detached,"Long Mynd, Halesowen",220000,"Lex Allan Grove, Halesowen",0121 396 0563,2021-12-29 18:34:25.736971
74,https://www.rightmove.co.uk/properties/111944582#/?channel=RES_BUY,Added on 09/12/2021 ,3 bedroom semi-detached house for sale,detached,"High Farm Road, Halesowen",215000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
75,https://www.rightmove.co.uk/properties/117944714#/?channel=RES_BUY,Added on 23/12/2021 ,1 bedroom flat for sale,other,"HALESOWEN, Hamilton Avenue",95000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
76,https://www.rightmove.co.uk/properties/117836900#/?channel=RES_BUY,Added on 21/12/2021 ,3 bedroom terraced house for sale,terrace,"Howley Grange Road, Halesowen, B62",210000,"Scriven & Co, Quinton",0121 396 0514,2021-12-29 18:34:25.736971
77,https://www.rightmove.co.uk/properties/115372655#/?channel=RES_BUY,Reduced on 03/12/2021 ,3 bedroom semi-detached house for sale,detached,"HALESOWEN, Philip Road",210000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
78,https://www.rightmove.co.uk/properties/117054575#/?channel=RES_BUY,Added on 30/11/2021 ,3 bedroom semi-detached house for sale,detached,"Beaumont Road, Halesowen, West Midlands, B62",200000,"Dixons, Halesowen",0121 396 0418,2021-12-29 18:34:25.736971
79,https://www.rightmove.co.uk/properties/113505923#/?channel=RES_BUY,Added on 15/09/2021 ,3 bedroom semi-detached house for sale,detached,"Lodgefield Road, Halesowen, B62",200000,"Dixons, Halesowen",0121 396 0418,2021-12-29 18:34:25.736971
80,https://www.rightmove.co.uk/properties/117050309#/?channel=RES_BUY,Added on 30/11/2021 ,3 bedroom semi-detached house for sale,detached,"Beaumont Road, Halesowen",200000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
81,https://www.rightmove.co.uk/properties/111737123#/?channel=RES_BUY,Added on 10/08/2021 ,2 bedroom end of terrace house for sale,terrace,"New John Street, Halesowen, B62",200000,"Purplebricks, covering Birmingham",02475 060293,2021-12-29 18:34:25.736971
82,https://www.rightmove.co.uk/properties/117821708#/?channel=RES_BUY,Added on 20/12/2021 ,2 bedroom semi-detached house for sale,detached,"Willetts Drive,Halesowen,West Midlands",195000,"Bloore King & Kavanagh, Halesowen",0121 396 0482,2021-12-29 18:34:25.736971
83,https://www.rightmove.co.uk/properties/117202337#/?channel=RES_BUY,Added on 03/12/2021 ,2 bedroom semi-detached house for sale,detached,"Downing Street, Halesowen",195000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
84,https://www.rightmove.co.uk/properties/117904376#/?channel=RES_BUY,Added on 22/12/2021 ,3 bedroom terraced house for sale,terrace,"Church Street, Halesowen",190000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
85,https://www.rightmove.co.uk/properties/98297699#/?channel=RES_BUY,Reduced on 20/10/2021 ,3 bedroom semi-detached house for sale,detached,"Drews Holloway, Halesowen",190000,"G & T Properties, Dudley",01384 261997,2021-12-29 18:34:25.736971
86,https://www.rightmove.co.uk/properties/117715400#/?channel=RES_BUY,Added on 17/12/2021 ,2 bedroom terraced house for sale,terrace,"Bloomfield Street West, Halesowen",190000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
87,https://www.rightmove.co.uk/properties/115836560#/?channel=RES_BUY,Added on 05/10/2021 ,3 bedroom semi-detached house for sale,detached,"Park Road, Halesowen",190000,"Bloore King & Kavanagh, Halesowen",0121 396 0482,2021-12-29 18:34:25.736971
88,https://www.rightmove.co.uk/properties/117371174#/?channel=RES_BUY,Added on 08/12/2021 ,2 bedroom end of terrace house for sale,terrace,"Upper Ashley Street, Halesowen",185000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
89,https://www.rightmove.co.uk/properties/111158369#/?channel=RES_BUY,Reduced on 23/08/2021 ,2 bedroom terraced house for sale,terrace,"Chantry Drive, Halesowen",180000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
90,https://www.rightmove.co.uk/properties/118042553#/?channel=RES_BUY,Added on 26/12/2021 ,3 bedroom terraced house for sale,terrace,"Short Street, Halesowen",180000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
91,https://www.rightmove.co.uk/properties/118055084#/?channel=RES_BUY,Added on 26/12/2021 ,3 bedroom semi-detached house for sale,detached,"Abbey Crescent, Halesowen",180000,"Lex Allan Grove, Halesowen",0121 396 0563,2021-12-29 18:34:25.736971
92,https://www.rightmove.co.uk/properties/117059474#/?channel=RES_BUY,Added on 30/11/2021 ,2 bedroom terraced house for sale,terrace,"HALESOWEN, Chantry Drive",180000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
93,https://www.rightmove.co.uk/properties/82456791#/?channel=RES_BUY,Reduced on 12/11/2021 ,3 bedroom semi-detached house for sale,detached,"Heale Close, HALESOWEN",180000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
94,https://www.rightmove.co.uk/properties/117081221#/?channel=RES_BUY,Added on 01/12/2021 ,2 bedroom terraced house for sale,terrace,"HALESOWEN, Two Gates Lane",177500,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
95,https://www.rightmove.co.uk/properties/118055069#/?channel=RES_BUY,Added on 26/12/2021 ,3 bedroom terraced house for sale,terrace,"Green Lane, Halesowen",170000,"Lex Allan Grove, Halesowen",0121 396 0563,2021-12-29 18:34:25.736971
96,https://www.rightmove.co.uk/properties/110364017#/?channel=RES_BUY,Added on 13/07/2021 ,2 bedroom apartment for sale,apartment,"Waugh Drive, Halesowen",162500,"Bloore King & Kavanagh, Halesowen",0121 396 0482,2021-12-29 18:34:25.736971
97,https://www.rightmove.co.uk/properties/117850895#/?channel=RES_BUY,Added on 21/12/2021 ,3 bedroom semi-detached house for sale,detached,"Colman Hill Avenue, Halesowen, B63",160000,"Hicks Hadley, Halesowen",0121 396 0594,2021-12-29 18:34:25.736971
